keyword,dizi,dizi_anahtar,kategori,tur,tur_ham,cikis_yili,sezon_sayisi,durum,sayfa_tipi,intent_katmani,entity_tipi,sezon_no,belirsiz_ad,marka_tipi,dil,erisim,apple_resmi,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01
oprah talks covid-19 2 sezon izle,Oprah Talks COVID-19,oprah talks covid-19,Docuseries,Reality & Program,Interview series,2020,1,Bitti,İzleme,İzleme,Sezon,2,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oprah talks covid-19 3 sezon izle,Oprah Talks COVID-19,oprah talks covid-19,Docuseries,Reality & Program,Interview series,2020,1,Bitti,İzleme,İzleme,Sezon,3,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oprah talks covid-19 1 sezon 1 bölüm,Oprah Talks COVID-19,oprah talks covid-19,Docuseries,Reality & Program,Interview series,2020,1,Bitti,Bölüm,İzleme,Bölüm,,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oprah talks covid-19 1 bölüm,Oprah Talks COVID-19,oprah talks covid-19,Docuseries,Reality & Program,Interview series,2020,1,Bitti,Bölüm,İzleme,Bölüm,,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oprah talks covid-19 dizipal,Oprah Talks COVID-19,oprah talks covid-19,Docuseries,Reality & Program,Interview series,2020,1,Bitti,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oprah talks covid-19 dizibox,Oprah Talks COVID-19,oprah talks covid-19,Docuseries,Reality & Program,Interview series,2020,1,Bitti,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small prophets,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,Dizi Ana,Navigasyonel,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet,590,LOW,0,,,,evet,260,260,720,480,1900,2400,20,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
small prophets dizi,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,Dizi Ana,Navigasyonel,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet,10,LOW,0,,,,evet,10,10,20,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
small prophets dizisi,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,Dizi Ana,Navigasyonel,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small prophets izle,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,İzleme,İzleme,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet,210,LOW,2,,,,evet,90,90,260,210,1000,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
small prophets türkçe dublaj izle,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,İzleme,İzleme,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small prophets altyazılı izle,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,İzleme,İzleme,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet,10,LOW,0,,,,evet,20,30,40,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
small prophets türkçe dublaj,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,İzleme,İzleme,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small prophets dizi izle,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,İzleme,İzleme,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small prophets full izle,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,İzleme,İzleme,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small prophets hangi platformda,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,Platform,İzleme,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet,10,LOW,12,,,,evet,10,10,10,10,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
small prophets nereden izlenir,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,Platform,İzleme,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small prophets netflix,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,Platform,İzleme,Dizi,,hayır,Platform Markalı,tr,Doğrulanacak,evet,10,,,,,,evet,0,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
small prophets apple tv,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,Platform,İzleme,Dizi,,hayır,Platform Markalı,tr,Doğrulanacak,evet,10,,,,,,evet,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
small prophets konusu,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,Konu,Bilgi,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet,30,LOW,0,,,,evet,10,20,10,30,70,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
small prophets ne anlatıyor,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,Konu,Bilgi,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small prophets oyuncuları,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,Oyuncular,Bilgi,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet,10,LOW,0,,,,evet,10,10,10,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
small prophets cast,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,Oyuncular,Bilgi,Dizi,,hayır,Jenerik,en,Doğrulanacak,evet,10,LOW,0,,,,evet,10,10,10,10,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
small prophets kaç sezon,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,Sezon Bilgi,Bilgi,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small prophets yeni sezon ne zaman,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,Sezon Takvim,Sezon & Takvim,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small prophets 2 sezon,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,Sezon Takvim,Sezon & Takvim,Sezon,2,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small prophets 3 sezon,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,Sezon Takvim,Sezon & Takvim,Sezon,3,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small prophets 2 sezon ne zaman,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,Sezon Takvim,Sezon & Takvim,Sezon,2,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small prophets 3 sezon ne zaman,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,Sezon Takvim,Sezon & Takvim,Sezon,3,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small prophets season 2,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,Sezon Takvim,Sezon & Takvim,Sezon,2,hayır,Jenerik,en,Doğrulanacak,evet,10,LOW,0,,,,evet,10,10,10,10,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
small prophets season 3,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,Sezon Takvim,Sezon & Takvim,Sezon,3,hayır,Jenerik,en,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small prophets 2 sezon izle,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,İzleme,İzleme,Sezon,2,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small prophets 3 sezon izle,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,İzleme,İzleme,Sezon,3,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small prophets 1 sezon 1 bölüm,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,Bölüm,İzleme,Bölüm,,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small prophets 1 bölüm,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,Bölüm,İzleme,Bölüm,,hayır,Jenerik,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small prophets dizipal,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small prophets dizibox,Small Prophets,small prophets,Comedy,Fantastik,Comedy fantasy,2026,1,Devam,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Doğrulanacak,evet,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
